query,page,clicks,impressions,ctr,position
cafe toronto harbord,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,3,0,71.33333333333333
cafe weed shop,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,12,0,52.083333333333336
cafe weed shop,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,4,0,92
cafe weed store,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,2,0,41
cafe weed store,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,4,0,79.25
cafe66,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,25,0,23.56
cafe66,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,6,0,19.666666666666668
calgary cannabis club,https://potshops.ca/listing/rocky-mountain-cannabis-club/,0,16,0,61.6875
calgary cannabis club,https://potshops.ca/location/calgary/,0,1,0,94
calgary dispensaries,https://potshops.ca/location/calgary/,0,2,0,102.5
calgary dispensary,https://potshops.ca/location/calgary/,0,2,0,96.5
calgary dispenseries,https://potshops.ca/location/calgary/,0,1,0,110
calgary pot,https://potshops.ca/location/calgary/,0,24,0,84.16666666666667
calgary pot shops,https://potshops.ca/location/calgary/,0,9,0,47.333333333333336
calgary pot stores,https://potshops.ca/location/calgary/,0,2,0,46
call 420 delivery,https://potshops.ca/listing/420-delivery/,0,1,0,15
call420 delivery,https://potshops.ca/listing/420-delivery/,0,6,0,7.5
cana king,https://potshops.ca/listing/king-canna-fredericton-2/,0,2,0,7.5
cana kings,https://potshops.ca/listing/king-canna-fredericton-2/,0,2,0,10.5
canabis autour de moi,https://potshops.ca/location/fredericton/,0,1,0,12
canabis halifax,https://potshops.ca/listing/the-green-leaf-society/,0,2,0,71
canabis nb fredericton,https://potshops.ca/location/fredericton/,0,1,0,67
canabis restigouche,https://potshops.ca/location/fredericton/,0,1,0,6
canabise culture,https://potshops.ca/listing/cannabis-culture-920-davie/,0,1,0,49
canabo,https://potshops.ca/listing/canabo-halifax/,0,5,0,3.8
canabo clinic,https://potshops.ca/listing/canabo-halifax/,0,2,0,37.5
canada dispensary paypal,https://potshops.ca/listing/isle-of-marijuana/,0,3,0,79.33333333333333
canadian dispensary list,https://potshops.ca/,0,1,0,94
canafarms,https://potshops.ca/listing/canna-farms-ltd/,0,2,0,35.5
canibis store near.me,https://potshops.ca/listing/the-green-leaf-society/,0,1,0,20
canna clinic,https://potshops.ca/listing/canabo-halifax/,0,1,0,43
canna clinic vancouver,https://potshops.ca/listing/canna-clinic-commercial/,0,9,0,22.77777777777778
canna culture,https://potshops.ca/listing/cannabis-culture-920-davie/,0,2,0,7.5
canna culture,https://potshops.ca/listing/cannadas-culture/,0,1,0,60
canna era,https://potshops.ca/listing/green-era-medicinal/,0,1,0,74
canna express,https://potshops.ca/listing/cannabis-express/,0,2,0,75
canna farms,https://potshops.ca/listing/canna-farms-ltd/,0,16,0,37.9375
canna farms hope bc,https://potshops.ca/category/licensed-producer/,0,4,0,43.25
canna farms hope bc,https://potshops.ca/listing/canna-farms-ltd/,0,5,0,42.2
canna farms phone number,https://potshops.ca/listing/canna-farms-ltd/,0,1,0,35
canna for life,https://potshops.ca/listing/cannabis-for-life/,0,1,0,70
canna jacks,https://potshops.ca/listing/cannabis-jacks-medicinals/,0,2,0,60.5
canna king,https://potshops.ca/listing/king-canna-fredericton-2/,0,16,0,67.375
canna kings,https://potshops.ca/listing/king-canna-fredericton-2/,0,4,0,10.75
canna kings medicinals,https://potshops.ca/listing/3-kings-medicinal/,0,34,0,12.764705882352942
canna kings medicinals,https://potshops.ca/listing/king-canna-fredericton-2/,0,1,0,13
canna kings medicinals,https://potshops.ca/location/fredericton/,0,1,0,14
canna leaf fredericton,https://potshops.ca/listing/king-canna-fredericton-2/,0,2,0,33.5
canna leaf fredericton,https://potshops.ca/location/fredericton/,0,1,0,44
"canna queens - fredericton nb, medical cannabis dispensary, fredericton",https://potshops.ca/listing/king-canna-fredericton-2/,0,18,0,67.38888888888889
"canna queens - fredericton nb, medical cannabis dispensary, fredericton",https://potshops.ca/location/fredericton/,0,22,0,53.36363636363637
cannabis and fine edibles,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-fort-york/,0,81,0,12.901234567901234
cannabis and fine edibles,https://potshops.ca/listing/cafe-cannabis-and-fine-edibles-harbord-st/,0,29,0,15.724137931034482
cannabis club,https://potshops.ca/listing/green-leaf/,0,2,0,7
cannabis club,https://potshops.ca/listing/the-port-alberni-cannabis-club/,0,1,0,17
cannabis culture,https://potshops.ca/listing/cannabis-culture-920-davie/,0,10,0,33.2
cannabis culture dispensary,https://potshops.ca/listing/cannabis-culture-920-davie/,0,12,0,20
cannabis culture vancouver,https://potshops.ca/listing/cannabis-culture-920-davie/,0,5,0,36
cannabis dartmouth,https://potshops.ca/location/dartmouth/,0,3,0,88.33333333333333
cannabis dispensary,https://potshops.ca/listing/green-leaf/,0,1,0,12
cannabis dispensary,https://potshops.ca/listing/okanagan-cannabis-solutions-society/,0,2,0,71.5
cannabis dispensary commercial drive,https://potshops.ca/location/vancouver/,0,31,0,65.54838709677419
cannabis dispensary fort macleod,https://potshops.ca/listing/rocky-mountain-cannabis-club/,0,8,0,68.125
cannabis dispensary halifax,https://potshops.ca/listing/the-green-leaf-society/,0,192,0,55.744791666666664
"cannabis dispensary in gastown, vancouver bc",https://potshops.ca/location/vancouver/,0,13,0,69.38461538461539
