page,clicks,impressions,ctr,position
https://potshops.ca/listing/eggs-canna-commercial-dr/,0,83,0,38.04819277108434
https://potshops.ca/listing/eggs-canna-nanaimo/,0,215,0,59.562790697674416
https://potshops.ca/listing/enchanted-studio/,0,18,0,23.555555555555557
https://potshops.ca/listing/evo-medi-society/,0,1,0,1
https://potshops.ca/listing/forest-dispensary/,0,1,0,8
https://potshops.ca/listing/full-spec-express-powered-by-remedy/,0,6,0,69.33333333333333
https://potshops.ca/listing/gastown-medicinal-dispensary/,0,14,0,72.64285714285714
https://potshops.ca/listing/georgia-peach-dundurn-st/,0,1,0,10
https://potshops.ca/listing/golden-leaf/,0,2,0,1
https://potshops.ca/listing/green-aura/,0,17,0,12.294117647058824
https://potshops.ca/listing/green-cross-medical/,0,2,0,5.5
https://potshops.ca/listing/green-panda-dispensary/,0,1,0,10
https://potshops.ca/listing/greenest-leaf/,0,3,0,31.666666666666668
https://potshops.ca/listing/greenworks-medicinal-2/,0,2,0,10.5
https://potshops.ca/listing/hammond-compassion-society/,0,36,0,20.11111111111111
https://potshops.ca/listing/hbb-medical-inc-fredericton/,0,1,0,10
https://potshops.ca/listing/hemp-herbals/,0,22,0,33.5
https://potshops.ca/listing/herbs-healing-center/,0,1,0,3
https://potshops.ca/listing/high-society-carlton-st/,0,1,0,1
https://potshops.ca/listing/hydrostone-bigbud/,0,9,0,8.222222222222221
https://potshops.ca/listing/imed-dispensary/,0,10,0,19.5
https://potshops.ca/listing/island-releaf/,0,1,0,15
https://potshops.ca/listing/island-therapeutic/,0,3,0,4.333333333333334
https://potshops.ca/listing/isle-of-marijuana/,0,30,0,10.933333333333334
https://potshops.ca/listing/justcompassion/,0,38,0,31.289473684210527
https://potshops.ca/listing/kaya-clinics-squamish/,0,1,0,1
https://potshops.ca/listing/king-canna-fredericton/,0,2,0,11
https://potshops.ca/listing/king-canna-nelson/,0,3,0,7.333333333333333
https://potshops.ca/listing/kootenay-compassion-collective/,0,4,0,29.25
https://potshops.ca/listing/kootenay-cured-2/,0,2,0,7
https://potshops.ca/listing/kootenay-cured/,0,2,0,7
https://potshops.ca/listing/kushklub/,0,300,0,23.323333333333334
https://potshops.ca/listing/le-710-st-jerome/,0,5,0,8.4
https://potshops.ca/listing/leaf-cross-health-society/,0,13,0,5.384615384615385
https://potshops.ca/listing/lit-paper-glass/,0,1,0,11
https://potshops.ca/listing/lotusland-cannabis-club-kitsilano/,0,121,0,28.074380165289256
https://potshops.ca/listing/marijuana-for-trauma-mft-oromocto/,0,5,0,15.4
https://potshops.ca/listing/mary-janes-2/,0,155,0,62.593548387096774
https://potshops.ca/listing/medical-cannabis-group-whitehorse/,0,2,0,19
https://potshops.ca/listing/medical-cannabis-group/,0,53,0,37.54716981132076
https://potshops.ca/listing/medicanna-nanaimo/,0,1,0,12
https://potshops.ca/listing/medicanna/,0,1,0,11
https://potshops.ca/listing/medicinal-cannabis-resource-centre-inc-kamloops/,0,24,0,28.5
https://potshops.ca/listing/melt-town-dispensary/,0,1,0,8
https://potshops.ca/listing/mmj-canada/,0,5,0,1.2
https://potshops.ca/listing/mountain-herb-collective/,0,43,0,49.16279069767442
https://potshops.ca/listing/nelson-potorium/,0,481,0,16.23076923076923
https://potshops.ca/listing/o-cannabis-clinic/,0,109,0,6.779816513761468
https://potshops.ca/listing/ocean-grown-medicinal-society/,0,19,0,13.894736842105264
https://potshops.ca/listing/okanagan-cannabinoid-therapy-penticton/,0,77,0,18.12987012987013
https://potshops.ca/listing/okanagan-cannabinoid-therapy-west-kelowna/,0,29,0,48.724137931034484
https://potshops.ca/listing/okanagan-cannabis-solutions-society/,0,14,0,30.857142857142858
https://potshops.ca/listing/oneounce-com/,0,3,0,8
https://potshops.ca/listing/online-dispensary-canada/,0,63,0,57.03174603174603
https://potshops.ca/listing/ottawa-compassion-clinic/,0,18,0,38.05555555555556
https://potshops.ca/listing/phyven-herbal-dispensary/,0,129,0,8.74418604651163
https://potshops.ca/listing/piffery/,0,26,0,5.6923076923076925
https://potshops.ca/listing/sacred-leaf/,0,1,0,7
https://potshops.ca/listing/scotia-green-inc/,0,5,0,13.6
https://potshops.ca/listing/sky-high-cannabis-ltd/,0,2,0,18
https://potshops.ca/listing/smoke-signals/,0,72,0,17.194444444444443
https://potshops.ca/listing/sprout-greenery-co/,0,7,0,26.428571428571427
https://potshops.ca/listing/starbuds-29th-ave/,0,1,0,9
https://potshops.ca/listing/starbuds-vernon/,0,1,0,21
https://potshops.ca/listing/swed-society/,0,1,0,10
https://potshops.ca/listing/thc-group/,0,2,0,3
https://potshops.ca/listing/the-altered-native-2/,0,7,0,41.42857142857143
https://potshops.ca/listing/the-farm-assists-medical-cannabis-resource-centre/,0,51,0,9.156862745098039
https://potshops.ca/listing/the-grass-station/,0,513,0,40.173489278752434
https://potshops.ca/listing/the-green-room-nelson/,0,6,0,10.333333333333334
https://potshops.ca/listing/the-green-room-spadina/,0,2,0,7
https://potshops.ca/listing/the-greenhouse-compassion-society/,0,37,0,25.513513513513512
https://potshops.ca/listing/the-healing-tree-hastings/,0,124,0,40.943548387096776
https://potshops.ca/listing/the-herbal-health-centre-kamloops/,0,7,0,29.285714285714285
https://potshops.ca/listing/the-honeypot-shop-canadas-cannabis-store/,0,111,0,50.67567567567568
https://potshops.ca/listing/the-medicine-cabinet/,0,11,0,12.818181818181818
https://potshops.ca/listing/the-medicine-man/,0,25,0,13.48
https://potshops.ca/listing/the-omd/,0,1,0,8
https://potshops.ca/listing/the-port-alberni-cannabis-club/,0,105,0,30.514285714285716
https://potshops.ca/listing/the-three-kings/,0,3,0,4.666666666666666
https://potshops.ca/listing/the-wellness-clinic-dispensary-crockett/,0,1,0,3
https://potshops.ca/listing/threadz-custom-clothing-and-glass/,0,2,0,7.5
https://potshops.ca/listing/top-shelf/,0,113,0,51.95575221238938
https://potshops.ca/listing/trauma-healing-centers/,0,21,0,50.095238095238095
https://potshops.ca/listing/trees-by-vancity/,0,1,0,10
https://potshops.ca/listing/trees-dispensary-yates/,0,1,0,94
https://potshops.ca/listing/trees-station/,0,3,0,27
https://potshops.ca/listing/water-street-cannabis-care/,0,51,0,10.607843137254902
https://potshops.ca/listing/weed-deliver/,0,1,0,65
https://potshops.ca/listing/weeds-east-2nd/,0,87,0,55.97701149425287
https://potshops.ca/listing/weeds-kitsilano/,0,2,0,23
https://potshops.ca/listing/weeds-montreal-rd/,0,2,0,4
https://potshops.ca/listing/weemedical-dispensary-society-norwell-dr/,0,2,0,4
https://potshops.ca/listing/west-end-medicinals/,0,3,0,4.666666666666666
https://potshops.ca/listing/zenzoo/,0,22,0,9.318181818181818
https://potshops.ca/location/canada/,0,74,0,9.31081081081081
https://potshops.ca/location/chemainus/,0,1,0,10
https://potshops.ca/location/dartmouth/,0,71,0,46.12676056338028
https://potshops.ca/location/toronto/,0,109,0,26.91743119266055
https://potshops.ca/location/vancouver/,0,512,0,56.591796875
https://potshops.ca/page/5/?post_type=tajima&s&area%5B0%5D&cate%5B0%5D=kankou,0,2,0,8.5
https://potshops.ca/privacy-policy/,0,5,0,13.4
https://potshops.ca/what-you-need-to-know-about-strains/,0,1,0,72
